Direccion,Latitud,Longitud,acumulado
526,calle 30 30 09,10.9895769,-74.778251,1
527,calle 30 30 42,10.9895769,-74.778251,1
528,calle 30 30 48,10.9895769,-74.778251,1
529,calle 30 30146,10.9895769,-74.778251,1
530,calle 30 32,10.9895769,-74.778251,6
531,calle 30 32 126,10.9895769,-74.778251,1
532,calle 30 32 2,10.9895769,-74.778251,1
533,calle 30 3280,10.9895769,-74.778251,1
534,calle 30 33,10.9895769,-74.778251,12
535,calle 30 33 18,10.9895769,-74.778251,1
536,calle 30 33 45,10.9895769,-74.778251,1
537,calle 30 35,10.9895769,-74.778251,4
538,calle 30 35 123,10.9895769,-74.778251,1
539,calle 30 35 32,10.9895769,-74.778251,1
540,calle 30 36,10.9895769,-74.778251,7
541,calle 30 37,10.9895769,-74.778251,3
542,calle 30 38,10.9895769,-74.778251,16
543,calle 30 38 22,10.9895769,-74.778251,1
544,calle 30 38 62,10.9895769,-74.778251,1
545,calle 30 39,10.9895769,-74.778251,6
546,calle 30 39 02,10.9895769,-74.778251,1
547,calle 30 4,10.9895769,-74.778251,33
548,calle 30 4 6,10.9895769,-74.778251,1
549,calle 30 40,10.9895769,-74.778251,9
550,calle 30 40 42,10.9895769,-74.778251,1
551,calle 30 41,10.9895769,-74.778251,5
552,calle 30 41 43,10.9895769,-74.778251,2
553,calle 30 42,10.9680772,-74.76528989498874,3
554,calle 30 42 07,10.9895769,-74.778251,1
555,calle 30 42 43,10.9895769,-74.778251,2
556,calle 30 43,10.9895769,-74.778251,25
557,calle 30 43 53,10.9895769,-74.778251,1
558,calle 30 44,10.9895769,-74.778251,12
559,calle 30 45,10.9895769,-74.778251,12
560,calle 30 46,10.9895769,-74.778251,5
561,calle 30 46 50,10.9895769,-74.778251,1
562,calle 30 5,10.9895769,-74.778251,1
